	en	es	ja
lang	English	Español	日本語
title	MeteoNook for {island}	MeteoNook para {island}	{island} のMeteoNook
			
mSettings	Settings	Opciones	設定
mTimeFormat	Time format	Sistema horario	時刻表記
mTime12	12 hours	12 horas	12時間
mTime24	24 hours	24 horas	24時間
mLanguage	Language	Idioma	言語
			
hTab	Welcome	Inicio	ようこそ
sTab	Seed	Semilla	シード
oTab	Overview	Ahora	概要
yTab	Yearly	Anual	年間表示
mTab	Monthly	Mensual	月間表示
			
hTWelcome	Welcome to MeteoNook Alpha	Bienvenido a MeteoNook Alpha	MeteoNook Alpha へようこそ
hWelcome	MeteoNook is a weather forecaster for <i>Animal Crossing: New Horizons</i> version 1.3.0.%%This tool will predict your island's weather patterns, including exact times for meteor showers, rainbows and the aurora borealis. To get started, you'll need the seed, a long number unique to your island that determines what your weather will be. Follow the instructions on the <b>Seed</b> tab to find it.	MeteoNook predice el tiempo para <i>Animal Crossing: New Horizons</i> en su versión 1.3.0.%%Esta herramienta te dará pronósticos para los patrones que sigue el clima en tu isla, incluyendo tiempos exactos para las lluvias de meteoritos, los arcoíris y la aurora. Para comenzar, necesitarás la semilla ambiental, un numero que pertenece a tu isla y que influye el sistema. Sigue los pasos en la pestaña <b>Semilla</b> para encontrarlo.	MeteoNook は <i> あつまれ　どうぶつの森 </i> バージョン 1.3.0. に対応した天気予報のサービスです。このツールを利用するとあなたの島の天気のパターンや、流れ星、虹やオーロラが現れる正確な時刻が分かります。まずは、あなたの島の天気のパターンを決めているユニークな数値であるシードを発見する必要があります。 <b>シード</b>のタブの手順にしたがって、シードを見つけましょう。
hTLog	Changelog	Actualizaciones	変更履歴
hLog20200610	Initial testing release	Primera versión de pruebas	テストリリース
hLog20200611	Added per-second and rainbow/aurora searching, fog forecasts, week borders and some more stuff I forgot	Añadido: Búsquedas con tiempos al segundo y arcoíris/aurora, previsiones de niebla, bordes en las semanas y algunas cosas mas que he olvidado	秒単位の虹/オーロラ検索、霧予報、週の境界線といくつかの忘れていたものを追加しました。
hLog20200612	Fixed calculation of shooting star times and wind power after midnight on the last two days of the month	Corregido: Los cálculos del horario de meteoritos y la velocidad del viento a partir de la medianoche en los últimos dos días del año	月末2日の深夜0時以降の流れ星の時刻と風の強さの計算を修正
hLog20200613	Fixed bug where seed searches involving shooting star times with seconds wouldn't actually match anything (I'm sorry, this was really silly)	Corregido: Un error en que las búsquedas con horario de meteoritos incluyendo segundos no cuadraban con ninguna semilla	流れ星の秒数を含むシード検索で、実際には何もマッチしないバグを修正 (これは本当に愚かなミスでした、ごめんなさい)
hLog20200614	Fixed checkboxes for aurora not updating properly. Restricted Bunny Day special weather to 2020. Added 'possible patterns' display to the seed finder, and warnings for event days. Added 12-hour display option.	Corregido: Las opciones de aurora no se actualizaban correctamente. El patrón para el evento de la Caza del Huevo esta ahora restringido al 2020. Añadido: Muestra de 'patrones posibles' a la pestaña Semilla, advertencias para días con patrones de evento, y opción para mostrar tiempos en el sistema de 12 horas para los americanos.	オーロラのチェックボックスが正しく更新されないのを修正しました。イースターの特別な天気を2020年に制限しました。シードファインダーに「可能性のあるパターン」表示とイベント日の警告を追加しました。12時間表示オプションを追加しました。
hLog20200615	Added translation support and a Spanish translation.	Añadido: Soporte para traducciones, y una traducción a español.	翻訳サポートとスペイン語翻訳を追加しました。
hLog20200616	Fixed bug involving meteor shower gaps ending in the last minute of the hour (X:59).	Corregido: Un error en que los huecos en el horario de meteoritos no podían acabar en el ultimo minuto de la hora (X:59).	流れ星の間隔が1時間の最後の1分(X:59)で終わるバグを修正しました。
